

총점 (1000.0)
790.0 (79%)

문제별 점수
문제	정확성	효율성	합계
프로그래밍1	60.0 / 60.0		60.0 / 60.0
프로그래밍2	60.0 / 60.0		60.0 / 60.0
프로그래밍3	70.0 / 70.0		70.0 / 70.0
프로그래밍4	50.0 / 50.0		50.0 / 50.0
프로그래밍5	90.0 / 90.0		90.0 / 90.0
프로그래밍6	제출 내용 없음 / 90.0		    제출 내용 없음 / 90.0
프로그래밍7	제출 내용 없음 / 120.0		제출 내용 없음 / 120.0
프로그래밍8	140.0 / 140.0		140.0 / 140.0
프로그래밍9	150.0 / 150.0		150.0 / 150.0
프로그래밍10	170.0 / 170.0		170.0 / 170.0
