432.9 (43%)

문제	정확성	효율성               	합계
프로그래밍1	22.9 / 80.0		        22.9 / 80.0
프로그래밍2	제출 내용 없음 / 60.0		제출 내용 없음 / 60.0
프로그래밍3	제출 내용 없음 / 40.0		제출 내용 없음 / 40.0
프로그래밍4	60.0 / 60.0		        60.0 / 60.0
프로그래밍5	제출 내용 없음 / 90.0		제출 내용 없음 / 90.0
프로그래밍6	90.0 / 90.0		        90.0 / 90.0
프로그래밍7	제출 내용 없음 / 120.0		제출 내용 없음 / 120.0
프로그래밍8	130.0 / 130.0		    130.0 / 130.0
프로그래밍9	130.0 / 130.0		    130.0 / 130.0
프로그래밍10	제출 내용 없음 / 200.0		제출 내용 없음 / 200.0

